images,name,image_urls
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0a/9f/d4/0c/the-knickerbocker.jpg', 'path': 'full/3f79c33e341c0beac23cd2a9afd8d51a03711c12.jpg', 'checksum': '97305253558788e8686525c230c4023f'}]","
,
The Knickerbocker
",https://media-cdn.tripadvisor.com/media/photo-o/0a/9f/d4/0c/the-knickerbocker.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-p/0a/c3/3a/11/deluxe-king-room.jpg', 'path': 'full/a70ab9d1c5e91b8dd3bddb3bfd22204a4e143181.jpg', 'checksum': 'c0499652c2929f13a342ee9512133790'}]","
,
Moderne Hotel
",https://media-cdn.tripadvisor.com/media/photo-p/0a/c3/3a/11/deluxe-king-room.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0c/e3/ef/3d/gph-lobby.jpg', 'path': 'full/c90fc52f158e15530ddc7713efc211e6fb6b9c5a.jpg', 'checksum': '1eee2d3f7fec2905e54df13ea55b814a'}]","
,
Gramercy Park Hotel
",https://media-cdn.tripadvisor.com/media/photo-w/0c/e3/ef/3d/gph-lobby.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/35/76/0e/dumont-nyc-one-bedroom.jpg', 'path': 'full/0eb83eaeb59adcc95c4aeb962f8c450fa19a997f.jpg', 'checksum': '27c7423b3198d9a5ad533e15c3ff6972'}]","
,
Dumont NYC-an Affinia hotel
",https://media-cdn.tripadvisor.com/media/photo-w/08/35/76/0e/dumont-nyc-one-bedroom.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/05/73/0b/52/the-tuscany-a-st-giles.jpg', 'path': 'full/cd1de73a1277a195ecfc790115aa3addaa5773b1.jpg', 'checksum': '5d56157469a52faf1b65498d9d69399f'}]","
,
The Tuscany - A St Giles Signature Hotel
",https://media-cdn.tripadvisor.com/media/photo-o/05/73/0b/52/the-tuscany-a-st-giles.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/oyster/980/0a/a8/13/45/street--v11612421.jpg', 'path': 'full/1d099ee72c61c9dca7f4fd80c3af094858bf9e8e.jpg', 'checksum': '4c64e58870b1aca2117d2236fade8253'}]","
,
Kimpton Ink48 Hotel
",https://media-cdn.tripadvisor.com/media/oyster/980/0a/a8/13/45/street--v11612421.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/04/68/e3/f0/premier-bathroom-at-hotel.jpg', 'path': 'full/d3e95886d205d8af11687d39d5d95b15f8a3e4a7.jpg', 'checksum': '2d4b784107b0fccb647b6b1fbc35cc33'}]","
,
Hotel Metro
",https://media-cdn.tripadvisor.com/media/photo-o/04/68/e3/f0/premier-bathroom-at-hotel.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-p/08/f3/57/a6/kimberly-exterior.jpg', 'path': 'full/0b08755e4748438acc6883f7c80e7a7a0987a957.jpg', 'checksum': 'ae0ba627f113ca3c81fac1974cb34fe7'}]","
,
The Kimberly Hotel
",https://media-cdn.tripadvisor.com/media/photo-p/08/f3/57/a6/kimberly-exterior.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/02/69/fd/cassa-hotel-times-square.jpg', 'path': 'full/2ad220bddefe731cf8b0659f1f8297e8a514d098.jpg', 'checksum': '53f86124ebfc5660dc77414998f7bc02'}]","
,
Cassa Hotel Times Square
",https://media-cdn.tripadvisor.com/media/photo-w/08/02/69/fd/cassa-hotel-times-square.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0d/7f/e0/cc/sixty-loft.jpg', 'path': 'full/861ca3f4c6444419cc057a1456cc59defdcbc2d9.jpg', 'checksum': 'ba81309fa7b17b2e4892f03c06e07038'}]","
,
SIXTY SoHo
",https://media-cdn.tripadvisor.com/media/photo-o/0d/7f/e0/cc/sixty-loft.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/05/59/83/a7/the-new-york-palace-hotel.jpg', 'path': 'full/1da624c43870094a894a873bac3a90e5be9c5688.jpg', 'checksum': '6d297d427a1199eaf3265767267db3d2'}]","
,
Lotte New York Palace
",https://media-cdn.tripadvisor.com/media/photo-o/05/59/83/a7/the-new-york-palace-hotel.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/oyster/980/07/13/4f/64/entrance--v4658049.jpg', 'path': 'full/3eb0c055a42dc91a49c2b7bf63b84abd0115733d.jpg', 'checksum': '9d8f8abc1e8166e03d6bd23dfb746f14'}]","
,
WestHouse Hotel New York
",https://media-cdn.tripadvisor.com/media/oyster/980/07/13/4f/64/entrance--v4658049.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0a/44/e5/34/room-mate-grace-hotel.jpg', 'path': 'full/9fc3e3d9b43e7b073c3677c9cfe924839d77520f.jpg', 'checksum': 'e8df5fdd3dd412f6c5e9611caf6a8d67'}]","
,
Room Mate Grace
",https://media-cdn.tripadvisor.com/media/photo-w/0a/44/e5/34/room-mate-grace-hotel.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/e0/17/db/times-square-central.jpg', 'path': 'full/2460b7aa407f6fab1d16112ed7440652eaf1b42e.jpg', 'checksum': 'f5dc54a375cd32bec97681a39844ed88'}]","
,
Hampton Inn Manhattan / Times Square Central
",https://media-cdn.tripadvisor.com/media/photo-w/08/e0/17/db/times-square-central.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0a/3d/e6/09/lexington-penthouse.jpg', 'path': 'full/eda9cbc488f3ffe5938202c0fefec17f9fde3938.jpg', 'checksum': 'ed3722cdf95fa19feed64294ce9b9134'}]","
,
Hotel 48LEX New York
",https://media-cdn.tripadvisor.com/media/photo-w/0a/3d/e6/09/lexington-penthouse.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0d/0f/e1/53/rooftop-pool.jpg', 'path': 'full/13ca31a12f10005c495217f00f41f467979d9edf.jpg', 'checksum': 'ce8e5cc4dacac79c3ac0a6d542155eb5'}]","
,
Gansevoort Park Avenue NYC
",https://media-cdn.tripadvisor.com/media/photo-o/0d/0f/e1/53/rooftop-pool.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0e/33/91/a8/exterior.jpg', 'path': 'full/ff0a3b7c2c0b92641d360d1c4460de133f718776.jpg', 'checksum': '62b0122cbeb64ce4767d94f035a7707b'}]","
,
Hilton Garden Inn New York/West 35th Street
",https://media-cdn.tripadvisor.com/media/photo-o/0e/33/91/a8/exterior.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0c/5d/dd/09/statue-of-liberty-view.jpg', 'path': 'full/5888318ee2208b43a4c4ee096451c887b3880e20.jpg', 'checksum': 'b2be0a547ae6d2f83737971404986199'}]","
,
The Ritz-Carlton New York, Battery Park
",https://media-cdn.tripadvisor.com/media/photo-w/0c/5d/dd/09/statue-of-liberty-view.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/09/e2/7c/9e/concierge-desk.jpg', 'path': 'full/48cd4e451d521fd539c698f3ac8bbce2d4c7996c.jpg', 'checksum': '2943c1befc8f51b2f76201539b26bd1c'}]","
,
Hotel Indigo Lower East Side New York
",https://media-cdn.tripadvisor.com/media/photo-o/09/e2/7c/9e/concierge-desk.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/04/af/19/7e/the-benjamin.jpg', 'path': 'full/da53a648ca3d14c81cd8982a05e5635c7efc9a02.jpg', 'checksum': '4c129213568ce014bbdebbd1e9eda2b4'}]","
,
The Benjamin
",https://media-cdn.tripadvisor.com/media/photo-w/04/af/19/7e/the-benjamin.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0d/1d/07/ce/lobby-artwork-by-gregory.jpg', 'path': 'full/bd88742f716cea860c256c4dac7db48287bc7812.jpg', 'checksum': 'c91222feaf69a37b7a2495d86e29ff8b'}]","
,
The Renwick Hotel New York City, Curio Collection by Hilton
",https://media-cdn.tripadvisor.com/media/photo-w/0d/1d/07/ce/lobby-artwork-by-gregory.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0a/02/1f/b8/lobby.jpg', 'path': 'full/a1dc1a05ff6613a278be5476f1a7fbc70541100c.jpg', 'checksum': '23297d5e4253f2d3b236c9a133dad8ac'}]","
,
Cambria Hotel & Suites - New York Times Square
",https://media-cdn.tripadvisor.com/media/photo-w/0a/02/1f/b8/lobby.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0d/34/1b/c4/arlo-hudson-square-studio.jpg', 'path': 'full/26bc1a4830f09ed79a57965f89902ff030bcd1e7.jpg', 'checksum': 'f8ed18a0a6aa341b65b03841cf8a6338'}]","
,
Arlo SoHo
",https://media-cdn.tripadvisor.com/media/photo-o/0d/34/1b/c4/arlo-hudson-square-studio.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/06/a6/b8/81/andaz-5th-avenue.jpg', 'path': 'full/9b4df3ea281f60bb8a33f228ba6fe64ba3690ddf.jpg', 'checksum': '709f91de5d0fc41589e8786eec56b083'}]","
,
Andaz 5th Avenue
",https://media-cdn.tripadvisor.com/media/photo-w/06/a6/b8/81/andaz-5th-avenue.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/5e/e8/4e/sofitel-new-york.jpg', 'path': 'full/b74db63f334904bcc1be9b8a371bc1fef6814940.jpg', 'checksum': '0a254f9270c412e9f90cf3e801bcc189'}]","
,
Sofitel New York
",https://media-cdn.tripadvisor.com/media/photo-w/08/5e/e8/4e/sofitel-new-york.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0a/e3/a4/3c/terrace-suite-with-empire.jpg', 'path': 'full/312fd21695273e8ef53c6cb3405aab777760498c.jpg', 'checksum': '338855e33e6479ed1bd04c02092c20b0'}]","
,
Innside New York NoMad
",https://media-cdn.tripadvisor.com/media/photo-o/0a/e3/a4/3c/terrace-suite-with-empire.jpg
